Date : 2024-09-21 17:21:23
Directory : /Users/ryotarotakatsu/development/wase_dule/lib
Total : 134 files,  40360 codes, 1216 comments, 3483 blanks, all 45059 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| frontend/screens/timetable_page/timetable                                                                                      |          5 |      3,012 |         48 |        181 |      3,241 |
| frontend/screens/to_do_page                                                                                                    |          9 |      3,038 |         89 |        419 |      3,546 |
| frontend/screens/to_do_page (Files)                                                                                            |          1 |         17 |          0 |          5 |         22 |
| frontend/screens/to_do_page/stats_page                                                                                         |          1 |        820 |          9 |        129 |        958 |
| frontend/screens/to_do_page/todo_assist_files                                                                                  |          3 |        185 |         11 |         34 |        230 |
| frontend/screens/to_do_page/todo_daily_view_page                                                                               |          4 |      2,016 |         69 |        251 |      2,336 |
| static                                                                                                                         |          5 |        929 |         11 |         52 |        992 |
| static (Files)                                                                                                                 |          2 |        815 |          2 |         34 |        851 |
| static/error_exception                                                                                                         |          3 |        114 |          9 |         18 |        141 |
+--------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                                       | language   | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| /Users/ryotarotakatsu/development/wase_dule/lib/backend/DB/chache.dart                                                         | Dart       |         25 |          5 |         11 |         41 |
| /Users/ryotarotakatsu/development/wase_dule/lib/backend/DB/handler/arbeit_db_handler.dart                                      | Dart       |         72 |          6 |         11 |         89 |
| /Users/ryotarotakatsu/development/wase_dule/lib/backend/DB/handler/calendarpage_config_db_handler.dart                         | Dart       |         61 |          4 |         11 |         76 |
| /Users/ryotarotakatsu/development/wase_dule/lib/backend/DB/handler/my_course_db.dart                                           | Dart       |        553 |         13 |         53 |        619 |
| /Users/ryotarotakatsu/development/wase_dule/lib/backend/DB/handler/my_grade_db.dart                                            | Dart       |        498 |         14 |         51 |        563 |
| /Users/ryotarotakatsu/development/wase_dule/lib/backend/DB/handler/schedule_db_handler.dart                                    | Dart       |        204 |         19 |         26 |        249 |
| /Users/ryotarotakatsu/development/wase_dule/lib/backend/DB/handler/schedule_metaInfo_db_handler.dart                           | Dart       |        125 |          7 |         19 |        151 |
| /Users/ryotarotakatsu/development/wase_dule/lib/backend/DB/handler/schedule_template_db_handler.dart                           | Dart       |        122 |         10 |         15 |        147 |
| /Users/ryotarotakatsu/development/wase_dule/lib/backend/DB/handler/tag_db_handler.dart                                         | Dart       |        168 |         14 |         23 |        205 |
| /Users/ryotarotakatsu/development/wase_dule/lib/backend/DB/handler/task_db_handler.dart                                        | Dart       |        367 |         39 |         43 |        449 |
| /Users/ryotarotakatsu/development/wase_dule/lib/backend/DB/handler/todo_db_handler.dart                                        | Dart       |        220 |         85 |         43 |        348 |
| /Users/ryotarotakatsu/development/wase_dule/lib/backend/DB/handler/user_info_db_handler.dart                                   | Dart       |        160 |         11 |         20 |        191 |
| /Users/ryotarotakatsu/development/wase_dule/lib/backend/DB/isar_collection/isar_handler.dart                                   | Dart       |        100 |          1 |         15 |        116 |
| /Users/ryotarotakatsu/development/wase_dule/lib/backend/DB/isar_collection/vacant_room.dart                                    | Dart       |         44 |          2 |         13 |         59 |
| /Users/ryotarotakatsu/development/wase_dule/lib/backend/DB/isar_collection/vacant_room.g.dart                                  | Dart       |      1,702 |         10 |        182 |      1,894 |
| /Users/ryotarotakatsu/development/wase_dule/lib/backend/DB/models/arbeit.dart                                                  | Dart       |         17 |          0 |          3 |         20 |
| /Users/ryotarotakatsu/development/wase_dule/lib/backend/DB/models/calendar_config.dart                                         | Dart       |         18 |          0 |          3 |         21 |
| /Users/ryotarotakatsu/development/wase_dule/lib/backend/DB/models/schedule.dart                                                | Dart       |         40 |          0 |          4 |         44 |
| /Users/ryotarotakatsu/development/wase_dule/lib/backend/DB/models/schedule_import.dart                                         | Dart       |          0 |         57 |          5 |         62 |
| /Users/ryotarotakatsu/development/wase_dule/lib/backend/DB/models/schedule_import_id.dart                                      | Dart       |          0 |         11 |          3 |         14 |
| /Users/ryotarotakatsu/development/wase_dule/lib/backend/DB/models/schedule_meta_data.dart                                      | Dart       |         19 |          0 |          3 |         22 |
| /Users/ryotarotakatsu/development/wase_dule/lib/backend/DB/models/schedule_template.dart                                       | Dart       |         28 |          0 |          4 |         32 |
| /Users/ryotarotakatsu/development/wase_dule/lib/backend/DB/models/tag.dart                                                     | Dart       |         29 |          0 |          3 |         32 |
| /Users/ryotarotakatsu/development/wase_dule/lib/backend/DB/models/task.dart                                                    | Dart       |         28 |          0 |          3 |         31 |
| /Users/ryotarotakatsu/development/wase_dule/lib/backend/DB/models/user.dart                                                    | Dart       |          9 |          0 |          3 |         12 |
| /Users/ryotarotakatsu/development/wase_dule/lib/backend/DB/sharepreference.dart                                                | Dart       |        134 |         11 |         19 |        164 |
| /Users/ryotarotakatsu/development/wase_dule/lib/backend/firebase/firabase_fcm_notification.dart                                | Dart       |          0 |         23 |          3 |         26 |
| /Users/ryotarotakatsu/development/wase_dule/lib/backend/firebase/firebase_handler.dart                                         | Dart       |        226 |          0 |         31 |        257 |
| /Users/ryotarotakatsu/development/wase_dule/lib/backend/firebase/firebase_options.dart                                         | Dart       |         54 |         16 |          4 |         74 |
| /Users/ryotarotakatsu/development/wase_dule/lib/backend/notify/notify_content.dart                                             | Dart       |        538 |         12 |         49 |        599 |
| /Users/ryotarotakatsu/development/wase_dule/lib/backend/notify/notify_db.dart                                                  | Dart       |        231 |         14 |         25 |        270 |
| /Users/ryotarotakatsu/development/wase_dule/lib/backend/notify/notify_setting.dart                                             | Dart       |        137 |         19 |         15 |        171 |
| /Users/ryotarotakatsu/development/wase_dule/lib/backend/service/classRoom.dart                                                 | Dart       |        622 |         24 |          1 |        647 |
| /Users/ryotarotakatsu/development/wase_dule/lib/backend/service/cookie.dart                                                    | Dart       |         22 |          2 |          5 |         29 |
| /Users/ryotarotakatsu/development/wase_dule/lib/backend/service/email.dart                                                     | Dart       |         33 |          0 |          7 |         40 |
| /Users/ryotarotakatsu/development/wase_dule/lib/backend/service/home_widget.dart                                               | Dart       |         62 |          4 |         11 |         77 |
| /Users/ryotarotakatsu/development/wase_dule/lib/backend/service/http_request.dart                                              | Dart       |         63 |         27 |         18 |        108 |
| /Users/ryotarotakatsu/development/wase_dule/lib/backend/service/js/auto_login_checkbox.js                                      | JavaScript |         56 |          4 |         11 |         71 |
| /Users/ryotarotakatsu/development/wase_dule/lib/backend/service/js/get_complete_task.js                                        | JavaScript |         84 |          3 |         12 |         99 |
| /Users/ryotarotakatsu/development/wase_dule/lib/backend/service/js/get_course_button.js                                        | JavaScript |        381 |         49 |         63 |        493 |
| /Users/ryotarotakatsu/development/wase_dule/lib/backend/service/js/get_document.js                                             | JavaScript |          3 |          0 |          1 |          4 |
| /Users/ryotarotakatsu/development/wase_dule/lib/backend/service/js/get_myGrade.js                                              | JavaScript |         33 |          0 |          7 |         40 |
| /Users/ryotarotakatsu/development/wase_dule/lib/backend/service/js/go_to_myCreditPage.js                                       | JavaScript |          4 |          0 |          1 |          5 |
| /Users/ryotarotakatsu/development/wase_dule/lib/backend/service/js/go_to_myGradePage.js                                        | JavaScript |          5 |          0 |          1 |          6 |
| /Users/ryotarotakatsu/development/wase_dule/lib/backend/service/js/hide_loading_screen.js                                      | JavaScript |         10 |          2 |          1 |         13 |
| /Users/ryotarotakatsu/development/wase_dule/lib/backend/service/js/scroll_controller.js                                        | JavaScript |         29 |          1 |          3 |         33 |
| /Users/ryotarotakatsu/development/wase_dule/lib/backend/service/js/show_loading_screen.js                                      | JavaScript |         28 |          4 |          3 |         35 |
| /Users/ryotarotakatsu/development/wase_dule/lib/backend/service/request_calendar_url.dart                                      | Dart       |         28 |          5 |          5 |         38 |
| /Users/ryotarotakatsu/development/wase_dule/lib/backend/service/share_from_web.dart                                            | Dart       |        213 |         12 |         23 |        248 |
| /Users/ryotarotakatsu/development/wase_dule/lib/backend/service/syllabus_query_request.dart                                    | Dart       |        379 |         11 |         30 |        420 |
| /Users/ryotarotakatsu/development/wase_dule/lib/backend/service/syllabus_query_result.dart                                     | Dart       |        265 |          9 |         33 |        307 |
| /Users/ryotarotakatsu/development/wase_dule/lib/frontend/assist_files/colors.dart                                              | Dart       |         47 |          1 |         11 |         59 |
| /Users/ryotarotakatsu/development/wase_dule/lib/frontend/assist_files/data_loader.dart                                         | Dart       |        125 |          0 |         22 |        147 |
| /Users/ryotarotakatsu/development/wase_dule/lib/frontend/assist_files/request_app_review.dart                                  | Dart       |         23 |         18 |          4 |         45 |
| /Users/ryotarotakatsu/development/wase_dule/lib/frontend/assist_files/screen_manager.dart                                      | Dart       |        213 |          1 |         21 |        235 |
| /Users/ryotarotakatsu/development/wase_dule/lib/frontend/assist_files/size_config.dart                                         | Dart       |         26 |          0 |          4 |         30 |
| /Users/ryotarotakatsu/development/wase_dule/lib/frontend/assist_files/ui_components.dart                                       | Dart       |        268 |          5 |         26 |        299 |
| /Users/ryotarotakatsu/development/wase_dule/lib/frontend/screens/calendar_page/add_event_dialog.dart                           | Dart       |        791 |         11 |         41 |        843 |
| /Users/ryotarotakatsu/development/wase_dule/lib/frontend/screens/calendar_page/add_template_dialog.dart                        | Dart       |        359 |          2 |         48 |        409 |
| /Users/ryotarotakatsu/development/wase_dule/lib/frontend/screens/calendar_page/arbeit_stats_page.dart                          | Dart       |      1,104 |         45 |         87 |      1,236 |
| /Users/ryotarotakatsu/development/wase_dule/lib/frontend/screens/calendar_page/calendar_data_manager.dart                      | Dart       |        160 |          7 |         35 |        202 |
| /Users/ryotarotakatsu/development/wase_dule/lib/frontend/screens/calendar_page/calendar_page.dart                              | Dart       |      1,922 |         74 |        144 |      2,140 |
| /Users/ryotarotakatsu/development/wase_dule/lib/frontend/screens/calendar_page/code_share_page.dart                            | Dart       |        693 |          0 |         37 |        730 |
| /Users/ryotarotakatsu/development/wase_dule/lib/frontend/screens/calendar_page/daily_view_page.dart                            | Dart       |      1,336 |         16 |         74 |      1,426 |
| /Users/ryotarotakatsu/development/wase_dule/lib/frontend/screens/calendar_page/scanner_page.dart                               | Dart       |        112 |         20 |          7 |        139 |
| /Users/ryotarotakatsu/development/wase_dule/lib/frontend/screens/calendar_page/schedule_broadcast_page.dart                    | Dart       |        732 |         32 |         35 |        799 |
| /Users/ryotarotakatsu/development/wase_dule/lib/frontend/screens/calendar_page/tag_and_template_page.dart                      | Dart       |      1,189 |          6 |         59 |      1,254 |
| /Users/ryotarotakatsu/development/wase_dule/lib/frontend/screens/calendar_page/time_input_page.dart                            | Dart       |        276 |          0 |         16 |        292 |
| /Users/ryotarotakatsu/development/wase_dule/lib/frontend/screens/calendar_page/university_schedule.dart                        | Dart       |        455 |         25 |         20 |        500 |
| /Users/ryotarotakatsu/development/wase_dule/lib/frontend/screens/common/attendance_dialog.dart                                 | Dart       |        428 |          0 |         38 |        466 |
| /Users/ryotarotakatsu/development/wase_dule/lib/frontend/screens/common/bottom_bar.dart                                        | Dart       |         62 |          5 |          5 |         72 |
| /Users/ryotarotakatsu/development/wase_dule/lib/frontend/screens/common/burger_menu.dart                                       | Dart       |        369 |          1 |         27 |        397 |
| /Users/ryotarotakatsu/development/wase_dule/lib/frontend/screens/common/eyecatch_page.dart                                     | Dart       |        160 |          3 |         24 |        187 |
| /Users/ryotarotakatsu/development/wase_dule/lib/frontend/screens/common/loading.dart                                           | Dart       |         50 |          0 |          8 |         58 |
| /Users/ryotarotakatsu/development/wase_dule/lib/frontend/screens/common/logo_and_title.dart                                    | Dart       |         43 |          1 |          5 |         49 |
| /Users/ryotarotakatsu/development/wase_dule/lib/frontend/screens/common/menu_appbar.dart                                       | Dart       |        299 |          0 |         26 |        325 |
| /Users/ryotarotakatsu/development/wase_dule/lib/frontend/screens/common/navigation_babble.dart                                 | Dart       |         13 |          0 |          4 |         17 |
| /Users/ryotarotakatsu/development/wase_dule/lib/frontend/screens/common/plain_appbar.dart                                      | Dart       |        338 |          0 |         30 |        368 |
| /Users/ryotarotakatsu/development/wase_dule/lib/frontend/screens/common/timeline_view.dart                                     | Dart       |        439 |          1 |         69 |        509 |
| /Users/ryotarotakatsu/development/wase_dule/lib/frontend/screens/common/tutorials.dart                                         | Dart       |        463 |          0 |         26 |        489 |
| /Users/ryotarotakatsu/development/wase_dule/lib/frontend/screens/map_page/const_map_info.dart                                  | Dart       |        105 |          0 |          8 |        113 |
| /Users/ryotarotakatsu/development/wase_dule/lib/frontend/screens/map_page/wase_map.dart                                        | Dart       |        995 |         13 |         51 |      1,059 |
| /Users/ryotarotakatsu/development/wase_dule/lib/frontend/screens/menu_pages/how_to_use_page.dart                               | Dart       |        115 |          0 |          9 |        124 |
| /Users/ryotarotakatsu/development/wase_dule/lib/frontend/screens/menu_pages/sns_contents_page/schedule_forcast.dart            | Dart       |        102 |          2 |          7 |        111 |
| /Users/ryotarotakatsu/development/wase_dule/lib/frontend/screens/menu_pages/sns_contents_page/sns_contents_page.dart           | Dart       |         99 |          2 |          7 |        108 |
| /Users/ryotarotakatsu/development/wase_dule/lib/frontend/screens/moodle_view_page/moodle_view_page.dart                        | Dart       |        159 |         12 |         16 |        187 |
| /Users/ryotarotakatsu/development/wase_dule/lib/frontend/screens/my_grade_view_page/my_grade_view_page.dart                    | Dart       |        112 |          5 |         12 |        129 |
| /Users/ryotarotakatsu/development/wase_dule/lib/frontend/screens/mywaseda_view_page/mywaseda_view_page.dart                    | Dart       |         82 |          2 |          9 |         93 |
| /Users/ryotarotakatsu/development/wase_dule/lib/frontend/screens/setting_page/calendar_setting.dart                            | Dart       |        197 |          1 |         19 |        217 |
| /Users/ryotarotakatsu/development/wase_dule/lib/frontend/screens/setting_page/data_backup_page.dart                            | Dart       |        320 |          1 |         22 |        343 |
| /Users/ryotarotakatsu/development/wase_dule/lib/frontend/screens/setting_page/notify_setting.dart                              | Dart       |        554 |          6 |         25 |        585 |
| /Users/ryotarotakatsu/development/wase_dule/lib/frontend/screens/setting_page/setting_page.dart                                | Dart       |        222 |          1 |         24 |        247 |
| /Users/ryotarotakatsu/development/wase_dule/lib/frontend/screens/setting_page/support_page.dart                                | Dart       |        201 |          0 |         27 |        228 |
| /Users/ryotarotakatsu/development/wase_dule/lib/frontend/screens/setting_page/theme_setting.dart                               | Dart       |         89 |         11 |          7 |        107 |
| /Users/ryotarotakatsu/development/wase_dule/lib/frontend/screens/setting_page/timetable_setting.dart                           | Dart       |        242 |          0 |         22 |        264 |
| /Users/ryotarotakatsu/development/wase_dule/lib/frontend/screens/task_page/add_data_card_button.dart                           | Dart       |        776 |         17 |         44 |        837 |
| /Users/ryotarotakatsu/development/wase_dule/lib/frontend/screens/task_page/deleted_tasks.dart                                  | Dart       |        132 |          0 |         11 |        143 |
| /Users/ryotarotakatsu/development/wase_dule/lib/frontend/screens/task_page/expired_tasks.dart                                  | Dart       |        138 |          0 |          9 |        147 |
| /Users/ryotarotakatsu/development/wase_dule/lib/frontend/screens/task_page/no_task_page.dart                                   | Dart       |         78 |          8 |          6 |         92 |
| /Users/ryotarotakatsu/development/wase_dule/lib/frontend/screens/task_page/task_data_manager.dart                              | Dart       |        113 |          9 |         19 |        141 |
| /Users/ryotarotakatsu/development/wase_dule/lib/frontend/screens/task_page/task_modal_sheet.dart                               | Dart       |        482 |          6 |         26 |        514 |
| /Users/ryotarotakatsu/development/wase_dule/lib/frontend/screens/task_page/task_progress_indicator.dart                        | Dart       |        289 |         12 |         27 |        328 |
| /Users/ryotarotakatsu/development/wase_dule/lib/frontend/screens/task_page/task_view_page.dart                                 | Dart       |        415 |         10 |         41 |        466 |
| /Users/ryotarotakatsu/development/wase_dule/lib/frontend/screens/task_page/tasklist_sort_category.dart                         | Dart       |        284 |          4 |         20 |        308 |
| /Users/ryotarotakatsu/development/wase_dule/lib/frontend/screens/task_page/tasklist_sort_date.dart                             | Dart       |        607 |         18 |         52 |        677 |
| /Users/ryotarotakatsu/development/wase_dule/lib/frontend/screens/timetable_page/attend_record/attend_menu_panel.dart           | Dart       |        340 |          0 |         25 |        365 |
| /Users/ryotarotakatsu/development/wase_dule/lib/frontend/screens/timetable_page/attend_record/attend_stats_page.dart           | Dart       |        392 |          1 |         28 |        421 |
| /Users/ryotarotakatsu/development/wase_dule/lib/frontend/screens/timetable_page/credit/credit_stats_page.dart                  | Dart       |        507 |          9 |         44 |        560 |
| /Users/ryotarotakatsu/development/wase_dule/lib/frontend/screens/timetable_page/credit/requiredcredits_stats.dart              | Dart       |        149 |          0 |         12 |        161 |
| /Users/ryotarotakatsu/development/wase_dule/lib/frontend/screens/timetable_page/syllabus/syllabus_description_view.dart        | Dart       |        261 |          0 |         19 |        280 |
| /Users/ryotarotakatsu/development/wase_dule/lib/frontend/screens/timetable_page/syllabus/syllabus_search_dialog.dart           | Dart       |        558 |          2 |         38 |        598 |
| /Users/ryotarotakatsu/development/wase_dule/lib/frontend/screens/timetable_page/syllabus/syllabus_search_page.dart             | Dart       |        595 |          0 |         47 |        642 |
| /Users/ryotarotakatsu/development/wase_dule/lib/frontend/screens/timetable_page/syllabus/syllabus_webview.dart                 | Dart       |         57 |          1 |          5 |         63 |
| /Users/ryotarotakatsu/development/wase_dule/lib/frontend/screens/timetable_page/timetable/course_add_page.dart                 | Dart       |        506 |          1 |         14 |        521 |
| /Users/ryotarotakatsu/development/wase_dule/lib/frontend/screens/timetable_page/timetable/course_preview.dart                  | Dart       |        568 |          8 |         27 |        603 |
| /Users/ryotarotakatsu/development/wase_dule/lib/frontend/screens/timetable_page/timetable/ondemand_preview.dart                | Dart       |        341 |          7 |         21 |        369 |
| /Users/ryotarotakatsu/development/wase_dule/lib/frontend/screens/timetable_page/timetable/timetable_data_manager.dart          | Dart       |        197 |          1 |         31 |        229 |
| /Users/ryotarotakatsu/development/wase_dule/lib/frontend/screens/timetable_page/timetable/timetable_page.dart                  | Dart       |      1,400 |         31 |         88 |      1,519 |
| /Users/ryotarotakatsu/development/wase_dule/lib/frontend/screens/to_do_page/stats_page/stats_page.dart                         | Dart       |        820 |          9 |        129 |        958 |
| /Users/ryotarotakatsu/development/wase_dule/lib/frontend/screens/to_do_page/to_do_page.dart                                    | Dart       |         17 |          0 |          5 |         22 |
| /Users/ryotarotakatsu/development/wase_dule/lib/frontend/screens/to_do_page/todo_assist_files/data_receiver.dart               | Dart       |         80 |          1 |         17 |         98 |
| /Users/ryotarotakatsu/development/wase_dule/lib/frontend/screens/to_do_page/todo_assist_files/screen_manager.dart              | Dart       |         79 |         10 |         13 |        102 |
| /Users/ryotarotakatsu/development/wase_dule/lib/frontend/screens/to_do_page/todo_assist_files/size_config.dart                 | Dart       |         26 |          0 |          4 |         30 |
| /Users/ryotarotakatsu/development/wase_dule/lib/frontend/screens/to_do_page/todo_daily_view_page/study_progress_indicator.dart | Dart       |        387 |         32 |         46 |        465 |
| /Users/ryotarotakatsu/development/wase_dule/lib/frontend/screens/to_do_page/todo_daily_view_page/time_input_page.dart          | Dart       |        199 |          0 |         31 |        230 |
| /Users/ryotarotakatsu/development/wase_dule/lib/frontend/screens/to_do_page/todo_daily_view_page/timer_view.dart               | Dart       |        259 |          6 |         41 |        306 |
| /Users/ryotarotakatsu/development/wase_dule/lib/frontend/screens/to_do_page/todo_daily_view_page/todo_daily_view_page.dart     | Dart       |      1,171 |         31 |        133 |      1,335 |
| /Users/ryotarotakatsu/development/wase_dule/lib/main.dart                                                                      | Dart       |         33 |          0 |          4 |         37 |
| /Users/ryotarotakatsu/development/wase_dule/lib/static/constant.dart                                                           | Dart       |        787 |          0 |         28 |        815 |
| /Users/ryotarotakatsu/development/wase_dule/lib/static/converter.dart                                                          | Dart       |         28 |          2 |          6 |         36 |
| /Users/ryotarotakatsu/development/wase_dule/lib/static/error_exception/error.dart                                              | Dart       |         53 |          6 |          7 |         66 |
| /Users/ryotarotakatsu/development/wase_dule/lib/static/error_exception/exception.dart                                          | Dart       |         43 |          3 |          7 |         53 |
| /Users/ryotarotakatsu/development/wase_dule/lib/static/error_exception/status_code.dart                                        | Dart       |         18 |          0 |          4 |         22 |
| /Users/ryotarotakatsu/development/wase_dule/lib/test.dart                                                                      | Dart       |      2,837 |         81 |        184 |      3,102 |
| Total                                                                                                                          |            |     40,360 |      1,216 |      3,483 |     45,059 |
+--------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
